股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
8016        矽創        114.0000    118.5000    112.5000    117.5000    129.0000    106.0000    118.0000    56          1799        
8028        昇陽半導體  42.1000     43.6000     41.7000     43.5000     47.8500     39.1500     43.3000     40          1276        
8081        致新        97.5000     102.0000    96.5000     100.0000    110.0000    90.0000     101.5000    27          896         
8110        華東        7.7700      7.9200      7.5700      7.9400      8.7300      7.1500      7.8900      11          692         
8131        福懋科      31.2000     32.1500     30.8500     32.0000     35.2000     28.8000     32.1000     9           489         
8150        南茂        25.5000     26.7500     25.3000     26.1500     28.7500     23.5500     26.6000     131         3517        
8261        富鼎        17.4000     18.0000     17.1500     17.9500     19.7000     16.2000     18.0000     7           283         
8271        宇瞻        35.5000     36.6000     35.0000     35.8000     39.3500     32.2500     36.4500     71          1889        
2301        光寶科      41.2000     41.3000     40.3500     40.9500     45.0000     36.9000     41.0000     1618        5727        
2305        全友        3.8200      4.3300      3.8200      4.1500      4.5600      3.7400      4.2000      16          359         
2324        仁寶        17.1500     17.4500     16.9500     17.4000     19.1000     15.7000     17.3000     2210        12316       
2331        精英        8.1500      8.2700      8.0100      8.3000      9.1300      7.4700      8.1500      15          329         
2352        佳世達      14.8000     15.2500     14.6500     15.1000     16.6000     13.6000     15.1000     186         3732        
2353        宏碁        14.7000     16.2000     14.6500     14.7500     16.2000     13.3000     16.2000     1624        55594       
2356        英業達      21.6500     22.1500     21.4500     21.7500     23.9000     19.6000     22.1000     1170        6711        
2357        華碩        191.5000    194.5000    189.0000    192.0000    211.0000    173.0000    193.0000    309         2605        
2362        藍天        27.7000     28.6500     27.6000     28.2000     31.0000     25.4000     28.6000     74          756         
2364        倫飛        2.0100      2.0100      1.9900      1.8900      2.0700      1.7100      2.0000      97          280         
2365        昆盈        6.9000      7.3000      6.7400      6.9900      7.6800      6.3000      7.1000      6           897         
2376        技嘉        46.6500     47.8000     46.0000     46.8500     51.5000     42.2000     46.8500     366         8562        
2377        微星        83.0000     85.8000     81.7000     84.1000     92.5000     75.7000     84.2000     458         3934        
2380        虹光        3.1300      3.1300      3.0400      3.1100      3.4200      2.8000      3.0400      20          81          
2382        廣達        59.1000     60.0000     58.6000     60.2000     66.2000     54.2000     59.6000     1310        7046        
2387        精元        23.5000     25.1000     23.3500     24.0000     26.4000     21.6000     25.1000     191         4336        
2395        研華        245.0000    249.0000    242.5000    252.0000    277.0000    227.0000    246.0000    169         826         
2397        友通        59.7000     61.7000     59.1000     61.5000     67.6000     55.4000     61.5000     3           88          
2399        映泰        7.6000      7.8800      7.6000      7.9200      8.7100      7.1300      7.8800      11          184         
2405        浩鑫        6.9500      7.2500      6.8800      7.1000      7.8100      6.3900      7.2000      16          883         
2417        圓剛        9.2200      9.9300      9.2100      9.5000      10.4500     8.5500      9.8000      106         2778        
2424        隴華        19.5500     19.5500     19.5000     20.9000     22.9500     18.8500     -           -           4           
2425        承啟        26.6000     26.7000     26.0000     26.7000     29.3500     24.0500     26.7000     7           188         
2442        新美齊      6.2100      6.3000      6.2000      6.4500      7.0900      5.8100      6.2700      50          1294        
2465        麗臺        6.3800      6.4800      6.3600      6.5500      7.2000      5.9000      -           -           82          
3002        歐格        9.6000      10.3000     9.6000      10.0000     11.0000     9.0000      10.0500     5           61          
3005        神基        42.2000     42.7500     41.6500     42.0000     46.2000     37.8000     42.2000     95          1433        
3013        晟銘電      11.0000     11.2000     10.9000     11.1000     12.2000     9.9900      11.1000     11          157         
3017        奇鋐        28.3000     29.9500     28.2000     29.0000     31.9000     26.1000     29.9500     310         5611        
3022        威強電      30.2500     30.2500     29.7000     30.7000     33.7500     27.6500     29.8000     22          192         
3046        建碁        7.0000      7.0000      7.0000      7.1800      7.8900      6.4700      -           -           2           
3057        喬鼎        3.9300      3.9300      3.8000      3.9900      4.3800      3.6000      3.8700      1           196         
3060        銘異        10.3000     10.7500     10.3000     10.9000     11.9500     9.8100      10.7500     20          504         
3231        緯創        23.2000     24.0000     23.1000     23.7500     26.1000     21.4000     23.8500     2048        16365       
3416        融程電      50.0000     50.0000     49.8500     50.5000     55.5000     45.4500     50.0000     1           48          
3494        誠研        3.1500      3.1700      3.0900      3.2100      3.5300      2.8900      3.1200      3           143         
3515        華擎        93.1000     103.5000    91.3000     94.2000     103.5000    84.8000     103.5000    10          4156        
3701        大眾控      11.7500     12.8000     11.7500     11.7500     12.9000     10.6000     -           -           5           
3706        神達        26.1000     27.0000     25.8500     26.8500     29.5000     24.2000     26.9500     171         5212        
3712        永崴投控    11.0000     11.2000     10.7500     11.0500     12.1500     9.9500      11.2000     6           188         
4916        事欣科      23.1000     23.7500     22.2000     23.7000     26.0500     21.3500     23.7500     20          435         
4938        和碩        58.5000     60.1000     58.3000     60.1000     66.1000     54.1000     59.3000     1362        11166       
5215        科嘉-KY     54.7000     56.7000     54.2000     54.8000     60.2000     49.3500     56.7000     25          574         
5258        虹堡        21.6500     21.6500     19.9000     19.7000     21.6500     17.7500     20.6000     58          1116        
5264        鎧勝-KY     35.0000     36.1000     34.6000     36.2500     39.8500     32.6500     35.8000     31          1271        
6117        迎廣        12.9000     13.3000     12.4000     12.3000     13.5000     11.1000     13.3000     9           38          
6128        上福        27.7500     28.1500     27.5500     28.0000     30.8000     25.2000     27.8500     3           93          
6166        凌華        66.6000     69.9000     65.1000     67.5000     74.2000     60.8000     68.7000     72          2209        
6172        互億        20.4500     21.1500     20.0500     20.5500     22.6000     18.5000     20.7000     60          374         
6206        飛捷        60.0000     60.1000     58.8000     60.7000     66.7000     54.7000     59.9000     11          324         
6230        超眾        216.0000    229.5000    211.5000    216.5000    238.0000    195.0000    225.0000    207         2516        
6235        華孚        7.6400      7.9400      7.5600      8.3400      9.1700      7.5100      7.9200      9           327         
6277        宏正        78.6000     78.6000     77.0000     78.8000     86.6000     71.0000     78.2000     7           109         
