股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        6.0200      6.3800      6.0200      5.8000      6.3800      5.2200      6.3800      6           586         
2303        聯電        14.3500     14.3500     13.9000     14.1000     15.5000     12.7000     14.0000     4539        59159       
2329        華泰        9.8500      9.8600      9.4200      9.5300      10.4500     8.5800      9.4200      71          2938        
2330        台積電      284.0000    286.0000    273.0000    280.0000    308.0000    252.0000    273.0000    7830        68516       
2337        旺宏        27.7500     28.0000     25.8500     26.4500     29.0500     23.8500     25.9000     1992        63675       
2338        光罩        25.2500     25.5000     24.2000     24.7000     27.1500     22.2500     24.2000     347         9760        
2342        茂矽        21.5000     21.8500     20.2000     20.9000     22.9500     18.8500     20.2000     302         6456        
2344        華邦電      12.3500     12.4000     11.6500     11.6500     12.8000     10.5000     11.6500     1690        36890       
2351        順德        38.5500     40.3000     38.2500     38.2000     42.0000     34.4000     38.2500     21          956         
2363        矽統        8.2500      8.3400      7.9600      8.2000      9.0200      7.3800      7.9800      270         8745        
2369        菱生        8.4500      8.5700      8.0700      8.2100      9.0300      7.3900      8.1000      93          3419        
2379        瑞昱        207.5000    210.0000    200.0000    201.0000    221.0000    181.0000    201.0000    359         7156        
2388        威盛        20.0000     20.2500     19.2000     19.2000     21.1000     17.3000     19.2500     31          1091        
2401        凌陽        8.7800      8.8800      8.5400      8.5300      9.3800      7.6800      8.6000      21          1323        
2408        南亞科      59.0000     59.0000     55.0000     54.0000     59.4000     48.6000     55.0000     1331        28190       
2434        統懋        5.8500      6.0000      5.3600      5.8500      6.4300      5.2700      -           -           15          
2436        偉詮電      22.0000     22.4500     21.7000     21.7500     23.9000     19.6000     21.9000     29          1893        
2441        超豐        38.7000     38.7000     37.9500     37.7500     41.5000     34.0000     38.3500     61          1198        
2449        京元電子    32.7000     32.8000     30.8000     32.1000     35.3000     28.9000     31.0000     691         16555       
2451        創見        70.6000     70.8000     68.3000     69.5000     76.4000     62.6000     68.3000     39          851         
2454        聯發科      359.5000    359.5000    336.5000    343.5000    377.5000    309.5000    340.0000    723         13185       
2458        義隆        83.8000     85.7000     82.3000     81.8000     89.9000     73.7000     82.4000     291         12829       
2481        強茂        18.6000     18.8000     17.8000     18.2000     20.0000     16.4000     17.9500     71          2958        
3006        晶豪科      28.6000     28.7500     27.6000     27.6000     30.3500     24.8500     27.6500     65          3145        
3014        聯陽        39.8500     40.2500     39.1000     39.0000     42.9000     35.1000     39.1000     44          2308        
3016        嘉晶        49.2000     49.4500     47.0500     48.1500     52.9000     43.3500     47.1000     321         5883        
3034        聯詠        173.5000    175.5000    171.0000    171.0000    188.0000    154.0000    172.0000    267         6016        
3035        智原        37.9000     37.9000     36.0000     36.5000     40.1500     32.8500     36.2000     57          3134        
3041        揚智        13.1000     13.1000     12.2000     12.5000     13.7500     11.2500     12.2500     72          2341        
3054        立萬利      24.6500     24.8000     23.5000     24.3000     26.7000     21.9000     24.7000     6           61          
3094        聯傑        15.6000     15.7500     15.1000     15.4500     16.9500     13.9500     15.3500     33          446         
3189        景碩        38.1000     38.8000     36.7500     36.5000     40.1500     32.8500     36.7500     211         9414        
3257        虹冠電      47.9500     47.9500     46.7000     47.8000     52.5000     43.0500     46.7000     3           41          
3413        京鼎        122.5000    124.0000    114.0000    118.0000    129.5000    106.5000    114.5000    85          2874        
3443        創意        188.0000    190.0000    178.0000    182.5000    200.5000    164.5000    180.0000    72          1606        
3530        晶相光      75.8000     76.7000     71.5000     73.0000     80.3000     65.7000     71.5000     87          2386        
3532        台勝科      133.0000    134.5000    127.0000    131.5000    144.5000    118.5000    127.0000    123         2373        
3536        誠創        3.1700      3.2300      3.1600      2.9400      3.2300      2.6500      3.2300      1           13          
3545        敦泰        28.5000     28.6500     27.1000     27.9500     30.7000     25.2000     27.1000     304         6619        
3583        辛耘        40.0000     40.2000     38.5000     39.0000     42.9000     35.1000     38.5500     9           328         
3588        通嘉        23.9000     24.2500     23.1500     23.6000     25.9500     21.2500     23.3000     6           182         
3661        世芯-KY     204.0000    206.5000    192.0000    197.5000    217.0000    178.0000    196.5000    388         8264        
3686        達能        2.9400      2.9900      2.8300      2.8600      3.1400      2.5800      2.9300      75          569         
3711        日月光投控  61.1000     61.9000     59.2000     59.8000     65.7000     53.9000     59.8000     874         12538       
4919        新唐        31.6500     32.0000     30.6000     30.8000     33.8500     27.7500     30.7500     21          1406        
4952        凌通        26.5500     26.5500     26.0500     25.9000     28.4500     23.3500     26.0500     10          245         
4961        天鈺        24.5000     24.6000     23.3500     22.9500     25.2000     20.7000     23.3500     11          1096        
