股票代號     公司簡稱     開盤         最高         最低         昨收         漲停價       跌停價       當盤成交價   當盤成交量   累積成交量  
6573         虹揚-KY      13.6500      13.6500      12.2500      13.5500      14.9000      12.2000      13.3000      4            87          
8016         矽創         100.5000     104.5000     98.0000      107.5000     118.0000     96.8000      102.0000     55           1852        
8028         昇陽半導體   37.5000      40.5000      37.1000      39.5000      43.4500      35.5500      39.0000      39           1453        
8081         致新         90.4000      95.2000      87.2000      93.7000      103.0000     84.4000      94.6000      16           1347        
8110         華東         6.9000       6.9300       6.7200       7.1700       7.8800       6.4600       6.8400       32           873         
8131         福懋科       29.7000      30.0000      29.0000      30.5000      33.5500      27.4500      29.4500      14           700         
8150         南茂         25.0500      25.5000      24.5000      25.9500      28.5000      23.4000      25.2000      140          3619        
8261         富鼎         15.2000      15.6500      14.9000      16.2500      17.8500      14.6500      15.3000      2            161         
8271         宇瞻         32.0000      32.7000      31.5000      33.2500      36.5500      29.9500      32.1500      27           1277        
2301         光寶科       38.2000      39.5000      38.0500      40.6500      44.7000      36.6000      38.5500      1297         7329        
2305         全友         3.6300       3.6300       3.4300       3.6700       4.0300       3.3100       3.5700       19           147         
2324         仁寶         15.7000      15.8500      15.5000      16.2000      17.8000      14.6000      15.5000      3090         13686       
2331         精英         7.7500       7.7500       7.4200       7.8400       8.6200       7.0600       7.5600       6            526         
2352         佳世達       13.5000      14.0000      13.4000      14.2500      15.6500      12.8500      13.8500      159          3678        
2353         宏碁         13.2000      13.5000      13.0000      13.9000      15.2500      12.5500      13.5000      2326         10653       
2356         英業達       19.3500      20.2500      19.3500      20.6000      22.6500      18.5500      19.8500      1253         5925        
2357         華碩         170.0000     175.5000     167.0000     175.0000     192.5000     157.5000     170.5000     436          2438        
2362         藍天         26.3000      26.6000      26.0000      27.1000      29.8000      24.4000      26.6000      55           309         
2364         倫飛         1.4400       1.4400       1.4400       1.5400       1.6900       1.3900       -            -            1           
2365         昆盈         6.0100       6.2700       6.0100       6.2100       6.8300       5.5900       6.2700       24           723         
2376         技嘉         39.1500      39.3500      38.2500      40.5000      44.5500      36.4500      38.2500      232          3662        
2377         微星         74.2000      74.6000      72.6000      78.0000      85.8000      70.2000      72.6000      383          2867        
