股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        5.0400      5.2800      5.0400      4.8000      5.2800      4.3200      5.2800      10          383         
2303        聯電        14.0500     14.3500     13.9500     13.8500     15.2000     12.5000     14.1000     19645       187797      
2329        華泰        9.4000      9.7100      9.4000      8.9100      9.8000      8.0200      9.5600      65          3925        
2330        台積電      276.5000    280.0000    274.0000    267.5000    294.0000    241.0000    277.0000    5507        79026       
2337        旺宏        26.0000     26.6000     26.0000     24.2000     26.6000     21.8000     26.6000     71          35084       
2338        光罩        23.3500     24.1000     23.2500     22.0000     24.2000     19.8000     24.1000     462         8299        
2342        茂矽        19.3500     20.3500     19.1500     18.5000     20.3500     16.6500     20.2000     87          9034        
2344        華邦電      11.3000     11.6500     11.2000     10.6000     11.6500     9.5400      11.6500     194         43785       
2351        順德        37.0000     38.3000     36.5000     35.0000     38.5000     31.5000     37.5000     18          933         
2363        矽統        8.5800      8.5800      7.9000      8.1600      8.9700      7.3500      8.0300      364         14308       
2369        菱生        7.4900      7.7600      7.4500      7.2300      7.9500      6.5100      7.7400      138         3538        
2379        瑞昱        185.0000    195.5000    185.0000    178.0000    195.5000    160.5000    191.0000    237         5866        
2388        威盛        18.5000     19.3000     18.5000     17.8500     19.6000     16.1000     19.1500     18          894         
2401        凌陽        8.5700      8.6600      8.3300      8.0300      8.8300      7.2300      8.5300      40          1507        
2408        南亞科      51.2000     53.1000     51.2000     48.3000     53.1000     43.5000     52.6000     577         24124       
2434        統懋        4.9800      5.3700      4.7700      5.0000      5.5000      4.5000      -           -           37          
2436        偉詮電      21.8000     22.8000     21.7000     20.9500     23.0000     18.9000     22.0000     58          3062        
2441        超豐        36.8000     38.3000     36.6000     35.9500     39.5000     32.4000     37.5500     18          908         
2449        京元電子    31.5000     32.3000     30.9000     30.8500     33.9000     27.8000     30.9000     837         15970       
2451        創見        69.6000     71.3000     68.1000     68.0000     74.8000     61.2000     68.3000     28          1141        
2454        聯發科      348.0000    353.0000    330.0000    330.0000    363.0000    297.0000    334.5000    1048        20248       
