股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        7.7100      7.7100      7.0800      7.0100      7.7100      6.3100      7.1600      16          1402        
2303        聯電        14.3500     14.3500     13.6500     13.9500     15.3000     12.6000     13.6500     25314       78841       
2329        華泰        9.9400      10.0500     9.6500      9.4800      10.4000     8.5400      9.6900      171         8344        
2330        台積電      273.0000    274.0000    269.5000    267.5000    294.0000    241.0000    274.0000    16406       48632       
2337        旺宏        26.1500     26.4000     25.2000     25.6000     28.1500     23.0500     25.5000     1237        30305       
2338        光罩        25.2500     25.4500     24.7000     24.7000     27.1500     22.2500     24.8000     131         3599        
2342        茂矽        20.5500     20.9000     19.8000     20.2000     22.2000     18.2000     20.0000     129         3439        
2344        華邦電      12.0000     12.1000     11.3500     11.7000     12.8500     10.5500     11.3500     3726        27172       
2351        順德        38.2500     39.1500     37.7000     37.7000     41.4500     33.9500     37.8000     8           522         
2363        矽統        8.1700      8.2800      8.0000      8.0800      8.8800      7.2800      8.0200      196         6629        
2369        菱生        8.4000      8.4500      8.1100      8.2900      9.1100      7.4700      8.2400      86          1527        
2379        瑞昱        201.0000    218.5000    201.0000    199.0000    218.5000    179.5000    218.5000    617         9664        
2388        威盛        19.5500     19.6000     19.0000     19.3000     21.2000     17.4000     19.2500     43          562         
2401        凌陽        8.6100      8.8600      8.5800      8.6000      9.4600      7.7400      8.6100      41          891         
2408        南亞科      54.8000     55.2000     52.0000     53.9000     59.2000     48.5500     53.7000     6300        29043       
2434        統懋        5.4900      5.4900      5.4900      5.3600      5.8900      4.8300      -           -           1           
2436        偉詮電      21.9000     22.1500     21.4000     21.7500     23.9000     19.6000     21.4500     31          720         
2441        超豐        39.6500     42.4000     39.0000     39.6500     43.6000     35.7000     42.0000     239         1998        
2449        京元電子    30.8000     30.8500     30.0000     30.4000     33.4000     27.4000     30.2500     779         8448        
2451        創見        66.6000     67.7000     66.5000     66.9000     73.5000     60.3000     66.5000     119         896         
2454        聯發科      339.0000    343.5000    326.0000    336.5000    370.0000    303.0000    327.5000    1767        10794       
2458        義隆        83.1000     84.7000     82.9000     83.0000     91.3000     74.7000     83.9000     270         6938        
2481        強茂        19.0000     19.6500     18.8500     18.4500     20.2500     16.6500     19.1500     168         8441        
3006        晶豪科      28.7000     28.9500     28.1500     28.1500     30.9500     25.3500     28.3000     40          1410        
3014        聯陽        39.5500     39.7500     39.0000     39.2500     43.1500     35.3500     39.1500     38          1359        
3016        嘉晶        49.5000     50.2000     48.2500     49.2000     54.1000     44.3000     48.8000     344         5699        
3034        聯詠        176.0000    176.0000    170.5000    173.5000    190.5000    156.5000    172.0000    878         4831        
3035        智原        37.4500     37.5000     36.0500     36.7000     40.3500     33.0500     36.3000     73          1445        
3041        揚智        12.6000     12.7000     12.3000     12.4500     13.6500     11.2500     12.3500     95          1421        
3054        立萬利      25.5000     25.6000     24.0500     24.7500     27.2000     22.3000     25.4500     7           129         
3094        聯傑        15.4500     15.5000     15.3000     15.3500     16.8500     13.8500     15.3500     13          224         
3189        景碩        38.8000     40.8500     38.8000     38.3000     42.1000     34.5000     40.4500     345         10131       
3257        虹冠電      46.0000     46.8000     46.0000     46.2500     50.8000     41.6500     46.5000     2           62          
3413        京鼎        117.0000    119.0000    113.5000    115.0000    126.5000    103.5000    116.0000    63          1824        
3443        創意        189.5000    191.0000    181.5000    187.0000    205.5000    168.5000    183.5000    94          1085        
3530        晶相光      74.3000     75.4000     71.3000     73.0000     80.3000     65.7000     73.0000     80          1330        
3532        台勝科      131.0000    132.5000    128.0000    129.0000    141.5000    116.5000    129.5000    56          957         
3536        誠創        3.1800      3.1800      2.9400      3.2200      3.5400      2.9000      2.9400      1           9           
3545        敦泰        28.9000     29.4500     28.0500     28.9000     31.7500     26.0500     28.3000     218         7000        
3583        辛耘        39.2000     39.6000     38.6000     38.3000     42.1000     34.5000     38.9000     4           142         
3588        通嘉        24.0000     24.0000     23.6000     23.6500     26.0000     21.3000     23.8500     3           78          
3661        世芯-KY     204.5000    207.0000    195.5000    200.0000    220.0000    180.0000    197.0000    383         6139        
3686        達能        2.8100      2.9000      2.7600      2.8500      3.1300      2.5700      2.8400      15          239         
3711        日月光投控  60.2000     60.8000     58.0000     59.2000     65.1000     53.3000     58.6000     2639        12412       
4919        新唐        31.4000     31.8000     30.9000     31.0500     34.1500     27.9500     31.1000     32          750         
4952        凌通        26.8500     26.8500     26.1000     26.0500     28.6500     23.4500     26.3000     4           184         
4961        天鈺        23.9500     24.2500     23.6500     23.5500     25.9000     21.2000     23.8000     14          722         
4967        十銓        33.2500     35.2000     32.8500     32.8500     36.1000     29.6000     33.2000     233         13071       
4968        立積        123.5000    125.5000    117.0000    119.5000    131.0000    108.0000    120.0000    317         5345        
5269        祥碩        823.0000    830.0000    766.0000    802.0000    882.0000    722.0000    770.0000    140         2408        
5285        界霖        37.9000     38.4500     37.5000     37.5000     41.2500     33.7500     37.6000     5           169         
5305        敦南        39.7500     39.9500     39.3500     39.7500     43.7000     35.8000     39.8500     14          962         
5471        松翰        36.7500     36.9000     36.1000     36.2000     39.8000     32.6000     36.1500     158         3843        
6202        盛群        60.7000     60.7000     59.5000     60.1000     66.1000     54.1000     59.6000     73          1169        
6239        力成        85.5000     87.3000     84.6000     83.9000     92.2000     75.6000     85.9000     1108        6508        
6243        迅杰        5.8600      5.9100      5.7700      5.8000      6.3800      5.2200      5.9000      1           62          
6257        矽格        31.1000     31.4500     30.7000     30.7000     33.7500     27.6500     30.9500     115         2897        
6271        同欣電      111.0000    113.5000    107.5000    109.0000    119.5000    98.1000     108.5000    71          3167        
6415        矽力-KY     1015.0000   1015.0000   985.0000    989.0000    1085.0000   891.0000    990.0000    46          304         
6451        訊芯-KY     88.5000     89.6000     85.9000     86.7000     95.3000     78.1000     86.7000     69          1416        
6525        捷敏-KY     47.7000     47.9000     47.2000     47.3500     52.0000     42.6500     47.3500     1           207         
6531        愛普        88.9000     89.4000     84.7000     86.2000     94.8000     77.6000     87.5000     153         2711        
6533        晶心科      83.6000     83.9000     81.8000     81.8000     89.9000     73.7000     82.4000     6           325         
6552        易華電      47.7000     48.5500     46.6000     46.8500     51.5000     42.2000     47.0500     25          892         
6573        虹揚-KY     13.9500     14.4000     13.3000     13.9500     15.3000     12.6000     14.3000     4           68          
8016        矽創        120.5000    121.5000    116.5000    118.0000    129.5000    106.5000    118.0000    162         2361        
8028        昇陽半導體  44.1000     44.3500     42.6000     43.3000     47.6000     39.0000     42.8000     39          1184        
8081        致新        103.0000    104.0000    101.0000    101.5000    111.5000    91.4000     101.5000    39          1357        
8110        華東        8.0000      8.0600      7.8600      7.8900      8.6700      7.1100      7.8900      22          816         
8131        福懋科      32.3500     32.6500     32.2000     32.1000     35.3000     28.9000     32.4500     35          813         
8150        南茂        27.0000     27.0500     26.5500     26.6000     29.2500     23.9500     26.6000     198         3418        
8261        富鼎        18.2000     18.4500     17.7000     18.0000     19.8000     16.2000     17.8000     5           209         
8271        宇瞻        37.0000     37.2500     35.9500     36.4500     40.0500     32.8500     36.0500     56          1634        
2301        光寶科      40.9000     41.5000     40.8500     41.0000     45.1000     36.9000     41.3000     3364        8957        
2305        全友        4.2700      4.2700      4.1500      4.2000      4.6200      3.7800      4.2200      6           198         
2324        仁寶        17.8000     18.1000     17.3000     17.3000     19.0000     15.6000     17.3000     8829        25106       
2331        精英        8.3600      8.5200      8.1500      8.1500      8.9600      7.3400      8.2000      10          370         
2352        佳世達      15.3000     15.4000     14.8000     15.1000     16.6000     13.6000     14.8000     1696        5994        
2353        宏碁        16.2000     16.4000     15.6000     16.2000     17.8000     14.6000     15.6000     4829        39823       
2356        英業達      22.3000     23.3000     22.0500     22.1000     24.3000     19.9000     23.3000     4905        13926       
2357        華碩        195.5000    204.5000    193.0000    193.0000    212.0000    174.0000    204.5000    1270        3850        
2362        藍天        28.7500     29.0000     28.5000     28.6000     31.4500     25.7500     28.7500     54          474         
2364        倫飛        2.0800      2.2000      2.0800      2.0000      2.2000      1.8000      2.2000      48          258         
2365        昆盈        7.1300      7.2500      7.0000      7.1000      7.8100      6.3900      7.2400      50          1329        
2376        技嘉        47.4000     51.3000     47.3500     46.8500     51.5000     42.2000     51.0000     639         16717       
