股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        7.1600      7.3000      6.5000      7.1600      7.8700      6.4500      7.1800      2           845         
2303        聯電        13.8500     13.8500     13.6500     13.6500     15.0000     12.3000     13.8000     6275        44771       
2329        華泰        9.7000      9.8500      9.5500      9.6900      10.6500     8.7300      9.8000      58          2517        
2330        台積電      276.5000    276.5000    271.5000    274.0000    301.0000    247.0000    271.5000    7773        44068       
2337        旺宏        25.5500     25.9000     25.1000     25.5000     28.0500     22.9500     25.9000     1512        23910       
2338        光罩        24.6500     25.1000     24.4500     24.8000     27.2500     22.3500     25.0000     170         2514        
2342        茂矽        19.9500     20.2500     19.8000     20.0000     22.0000     18.0000     19.9000     157         3860        
2344        華邦電      11.4500     11.6000     11.2000     11.3500     12.4500     10.2500     11.6000     1584        15760       
2351        順德        38.5500     38.6500     37.6000     37.8000     41.5500     34.0500     38.1000     14          354         
2363        矽統        8.1000      8.1600      8.0100      8.0200      8.8200      7.2200      8.1500      283         3892        
2369        菱生        8.1100      8.4300      8.1100      8.2400      9.0600      7.4200      8.2600      44          1518        
2379        瑞昱        217.0000    220.5000    210.0000    218.5000    240.0000    197.0000    213.0000    381         5533        
2388        威盛        19.2500     19.6000     19.0500     19.2500     21.1500     17.3500     19.6000     28          362         
2401        凌陽        8.6300      8.8500      8.6000      8.6100      9.4700      7.7500      8.8400      25          1031        
2408        南亞科      53.2000     54.2000     52.4000     53.7000     59.0000     48.3500     53.9000     762         14709       
2434        統懋        5.2000      5.4900      5.2000      5.4900      6.0300      4.9500      5.3000      1           26          
2436        偉詮電      21.5000     22.0500     21.3000     21.4500     23.5500     19.3500     21.8000     49          861         
2441        超豐        41.1000     41.1000     40.1500     42.0000     46.2000     37.8000     40.1500     68          1082        
2449        京元電子    30.3500     30.3500     29.9000     30.2500     33.2500     27.2500     30.1500     175         4703        
2451        創見        66.6000     67.1000     66.6000     66.5000     73.1000     59.9000     66.7000     52          465         
2454        聯發科      333.0000    334.0000    325.5000    327.5000    360.0000    295.0000    334.0000    735         6504        
2458        義隆        83.9000     85.5000     82.6000     83.9000     92.2000     75.6000     85.0000     229         7473        
2481        強茂        18.8500     19.1500     18.6500     19.1500     21.0500     17.2500     19.1000     191         2507        
3006        晶豪科      28.5000     28.9000     28.1500     28.3000     31.1000     25.5000     28.9000     68          1222        
3014        聯陽        39.1000     39.5500     38.9500     39.1500     43.0500     35.2500     39.5000     33          979         
