股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        4.7700      4.8500      4.6700      4.5400      4.9900      4.0900      4.8000      12          425         
2303        聯電        14.0500     14.1500     13.8000     13.7500     15.1000     12.4000     13.8500     9950        100299      
2329        華泰        8.6000      9.0000      8.6000      8.3400      9.1700      7.5100      8.9100      30          2152        
2330        台積電      268.0000    274.0000    266.0000    255.0000    280.5000    229.5000    267.5000    10111       81716       
2337        旺宏        23.6000     24.6000     23.2000     22.4000     24.6000     20.2000     24.2000     1768        50509       
2338        光罩        21.7500     22.1500     21.5000     20.5000     22.5500     18.4500     22.0000     111         3456        
2342        茂矽        17.9000     18.6000     17.7000     17.1500     18.8500     15.4500     18.5000     151         4445        
2344        華邦電      10.4500     10.8000     10.3500     9.9600      10.9500     8.9700      10.6000     1602        27077       
2351        順德        33.9000     36.5000     33.9000     33.8000     37.1500     30.4500     35.0000     8           683         
2363        矽統        7.6000      8.1700      7.5000      7.4400      8.1800      6.7000      8.1600      374         15567       
2369        菱生        7.0700      7.3500      7.0700      6.9700      7.6600      6.2800      7.2300      22          1527        
2379        瑞昱        175.0000    182.0000    174.5000    168.5000    185.0000    152.0000    178.0000    662         5131        
2388        威盛        17.4500     18.2500     17.4500     16.7000     18.3500     15.0500     17.8500     32          798         
2401        凌陽        7.8300      8.1500      7.8300      7.6800      8.4400      6.9200      8.0300      54          1279        
2408        南亞科      46.3000     48.6000     46.3000     44.2000     48.6000     39.8000     48.3000     708         20858       
2434        統懋        5.1000      5.1000      4.6100      4.9500      5.4400      4.4600      -           -           27          
2436        偉詮電      20.9500     21.4000     20.8000     20.1500     22.1500     18.1500     20.9500     56          945         
2441        超豐        35.2000     36.3000     35.2000     34.8000     38.2500     31.3500     35.9500     25          856         
2449        京元電子    30.5500     31.6000     30.5500     29.6000     32.5500     26.6500     30.8500     599         10909       
2451        創見        67.0000     68.6000     67.0000     66.3000     72.9000     59.7000     68.0000     28          489         
2454        聯發科      336.0000    338.5000    326.0000    308.0000    338.5000    277.5000    330.0000    976         13317       
